Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
152,123,16.632621401931154,3,"((((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L06:6.2,L07:4):4.9):0,(L04:4,L05:4.8):3.4,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.7,L08:5.1):3.9,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
83,123,16.632621401931157,3,"((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,((L06:6.2,L07:4):4.9,(L04:4,L05:4.8):3.4):4.9):0,(L03:2.9000000001,L09:6.4):3.8999999999,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.7,L08:5.1):3.9,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
73,123,16.641129295177254,12,"(((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):0.7984439592,L09:6.4):2.0507780196,((L06:6.2,L07:4):4.9,(L04:4,L05:4.8):3.4):2.0507780212,L10:5.8);","((((L04:5.2499999998,L05:4.8):4.6500000002,((L01:1.7000000008,L08:5.1):3.8999999992,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
47,123,16.647564483391218,3,"(((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):2.45,L09:6.4):2.45,(L04:4,L05:4.8):3.4):4.9,L06:6.2):0,L07:4,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
48,123,16.649641831937817,5,"((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L09:6.4):0,L03:6.8):4.9,(L04:4,L05:4.8):3.4):2.7322706812,(L06:6.2,L07:4):2.1677293188,L10:5.8);","((((L04:5.2499999998,L05:4.8):4.6500000002,((L01:1.7000000006,L08:5.1):3.8999999994,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
51,121,16.649641831937817,6,"((((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):2.7322706811,(L06:6.2,L07:4):2.1677293189,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:5.6,L02:4.7):0,L08:5.1):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
51,125,16.649641831937817,6,"((((L03:2.8999999999,L09:6.4):3.9000000001,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):2.7322706811,(L06:6.2,L07:4):2.1677293189,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L02:4.7,L08:5.1):0,L01:5.6):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
51,122,16.653318722481064,7,"((((L03:2.9000000001,L09:6.4):3.8999999999,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):2.9425516818,(L06:6.2,L07:4):1.9574483182,L10:5.8);","((((((L01:1.7000000001,L08:5.1):3.8999999999,L02:4.7):4.7,L04:9.9):2.233559672,L05:4.8):3.066440328,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
52,122,16.66079952668789,5,"(((((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):4.9,L07:4):2.25,L06:3.95,L10:5.8);","((((((L01:1.7,L08:5.1):3.9,L02:4.7):4.7,L04:9.9):2.4265255413,L05:4.8):2.8734744587,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
75,123,16.669883397861856,3,"(((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L09:6.4):0,L03:6.8):2.45,((L06:6.2,L07:4):4.9,(L04:4,L05:4.8):3.4):2.45,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.7,L08:5.1):3.9,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
76,121,16.669883397861856,3,"(((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):2.45,((L06:6.2,L07:4):4.9,(L04:4,L05:4.8):3.4):2.45,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:5.6,L02:4.7):0,L08:5.1):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
76,125,16.669883397861856,3,"(((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):2.45,((L06:6.2,L07:4):4.9,(L04:4,L05:4.8):3.4):2.45,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L02:4.7,L08:5.1):0,L01:5.6):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
66,123,16.68474508573965,2,"((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):1.6333333333,(((L06:6.2,L07:4):4.9,(L04:4,L05:4.8):3.4):1.6333333333,L09:6.4):1.6333333333,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
53,116,16.690861841038203,3,"(((((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):4.9,L06:6.2):0,L07:4,L10:5.8);","(((((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7,L04:9.9):5.3,(((L03:4,L09:6.4):5,L07:5.5):3.05,L05:4.8):3.05):4.5,L06:6.2,L10:5.8);",null
76,122,16.71200582508709,5,"(((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):2.45,((L06:6.2,L07:4):4.9,(L04:4,L05:4.8):3.4):2.45,L10:5.8);","((((((L01:1.7,L08:5.1):3.9,L02:4.7):4.7,L04:9.9):2.1129718191,L05:4.8):3.1870281809,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
37,123,16.712301259750614,5,"((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):4.9,(L04:4,L05:4.8):3.4):2.0095917405,L09:6.4):2.0095917405,(L06:6.2,L07:4):0.880816519,L10:5.8);","((((L04:5.2500000001,L05:4.8):4.6499999999,((L01:1.6999999995,L08:5.1):3.9000000005,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
49,123,16.75543941163428,3,"(((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L09:6.4):0,L03:6.8):4.9,(L04:4,L05:4.8):3.4):4.9,L07:4):2.25,L06:3.95,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.7,L08:5.1):3.9,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
52,121,16.75543941163428,3,"(((((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):4.9,L07:4):2.2500000001,L06:3.9499999999,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:5.6,L02:4.7):0,L08:5.1):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
52,125,16.75543941163428,3,"(((((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):4.9,L07:4):2.2500000001,L06:3.9499999999,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L02:4.7,L08:5.1):0,L01:5.6):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
40,123,16.760827207470175,3,"(((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):4.9,(L04:4,L05:4.8):3.4):2.45,L09:6.4):2.45,L06:6.2):0,L07:4,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
167,123,16.78721318283009,6,"(((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):4.9,(L04:4,L05:4.8):3.4):1.6895686764,((L06:6.2,L07:4):1.6052156632,L09:6.4):1.6052156604,L10:5.8);","((((L04:5.2499999999,L05:4.8):4.6500000001,((L01:1.7000000004,L08:5.1):3.8999999996,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
152,116,16.951175383552307,2,"((((L03:2.8999999999,L09:6.4):3.9000000001,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L06:6.2,L07:4):4.9):1.7,(L04:4,L05:4.8):1.7,L10:5.8);","(((((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7,L04:9.9):5.3,(((L03:4,L09:6.4):5,L07:5.5):3.05,L05:4.8):3.05):4.5,L06:6.2,L10:5.8);",null
53,122,16.961935056722844,6,"(((((L03:2.8999999999,L09:6.4):3.9000000001,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):4.9,L06:6.2):0,L07:4,L10:5.8);","((((((L01:1.6999999998,L08:5.1):3.9000000002,L02:4.7):4.7,L04:9.9):2.4265255419,L05:4.8):2.8734744581,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
45,121,16.98013265234581,3,"((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):2.45,L09:6.4):2.45,(L04:4,L05:4.8):3.4):2.45,(L06:6.2,L07:4):2.45,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:5.6,L02:4.7):0,L08:5.1):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
45,125,16.98013265234581,3,"((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):2.45,L09:6.4):2.45,(L04:4,L05:4.8):3.4):2.45,(L06:6.2,L07:4):2.45,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L02:4.7,L08:5.1):0,L01:5.6):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
